Smooth	edf	Ref.df	F	p.value
s(Tiempo)	1.1513391738623242	1.2844611818445575	12.813725185408572	1.0730715606727115e-4
s(NHC)	4.140860036441473e-4	1	2.278924789366447e-4	0.45773568299605316
