Smooth	edf	Ref.df	F	p.value
s(Tiempo)	1.0000518395619376	1.0001036768583682	1.7763012192666627	0.18325355494058454
s(NHC)	7.487700539746299e-5	1	2.2477814366927737e-6	0.8625220705566259
