"taxon","diff_InmunosuprimidoNo","diff_InmunosuprimidoSí","p_InmunosuprimidoNo","p_InmunosuprimidoSí","q_InmunosuprimidoNo","q_InmunosuprimidoSí","lfc_InmunosuprimidoNo","lfc_InmunosuprimidoSí"
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella",TRUE,TRUE,0.000586734628968342,0.00120990297205208,0.00388362444888569,0.00885139542711785,-0.922521165067266,-2.21363913872422
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella_9",TRUE,FALSE,2.19046944163988e-10,0.460636567365418,1.52237626193971e-08,0.69596177025862,2.60048936555945,0.484117111176978
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes",FALSE,FALSE,0.0469017789449049,0.0148306698870255,0.105150762473254,0.0542490293235932,0.717719821269741,-2.04757253961927
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae",FALSE,FALSE,0.0197888171921054,0.127044063001469,0.0500117379945937,0.299307199274648,-0.558550364858472,-0.933392452018141
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides",FALSE,FALSE,0.898327988656889,0.0982379891662146,0.911228047761091,0.247357055287598,-0.0430006765850063,-1.32557999788216
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Tannerellaceae",FALSE,FALSE,0.636465341212473,0.191303113867449,0.737239020237782,0.374522997571485,0.151329209306596,0.900296371679949
"Bacteria|Desulfobacterota|Desulfovibrionia|Desulfovibrionales|Desulfovibrionaceae",TRUE,TRUE,0.00221304262598436,2.68720492695548e-06,0.00932160378823714,5.33602121209731e-05,-0.727311176947884,3.24506655428605
"Bacteria|Desulfobacterota|Desulfovibrionia|Desulfovibrionales|Desulfovibrionaceae|Bilophila",FALSE,FALSE,0.756316796403553,0.723468012723441,0.832445748744615,0.914200488805076,0.075834935525609,-0.208500144604277
"Bacteria|Desulfobacterota|Desulfovibrionia|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio",TRUE,FALSE,0.0033968921150675,1,0.0127612974052536,1,-0.739246703298827,0
"Bacteria|Firmicutes",TRUE,FALSE,0.000679670330180454,0.275923268598181,0.004052422354325,0.498095251105807,0.853343087987098,0.657772862820779
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae|Catenibacterium",TRUE,FALSE,9.63428755721928e-05,0.165060410101565,0.000787744688502047,0.348640009603968,1.05931720780172,-0.82871794983471
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae|Coprobacillus",FALSE,TRUE,0.0983359770933645,9.06121102087477e-06,0.188630767319967,0.000157438541487699,0.403154286633973,3.06046115612248
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae|Erysipelatoclostridium",TRUE,TRUE,0.0168883000088022,0.00813280936771513,0.0460288961024217,0.0381078348552989,-0.731908945179134,1.68840092443667
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae|Erysipelotrichaceae_UCG-003",FALSE,TRUE,0.426720278560766,4.83766341576484e-08,0.549204802962467,3.36217607395657e-06,0.205084821242659,-3.59440432545965
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae",FALSE,FALSE,0.11870878950893,0.0269244612194363,0.211345164274329,0.0935625027375412,0.41064525523648,1.33581624359182
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Clostridium_innocuum_group",FALSE,FALSE,0.533681906443978,0.445826930704489,0.650717412243096,0.680988388658505,0.219882204248596,-0.555330294853195
