Smooth	edf	Ref.df	F	p.value
s(Tiempo)	1.0001720626834154	1.0003441001568318	2.101328596103568	0.14785504125485577
s(NHC)	1.136848746753296e-4	1	1.2507913850837451e-5	0.7402749017231374
