"taxon","diff_VMNI.durante.el.ingresoNo","diff_VMNI.durante.el.ingresoSí","p_VMNI.durante.el.ingresoNo","p_VMNI.durante.el.ingresoSí","q_VMNI.durante.el.ingresoNo","q_VMNI.durante.el.ingresoSí","lfc_VMNI.durante.el.ingresoNo","lfc_VMNI.durante.el.ingresoSí"
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella",TRUE,TRUE,0.00778477643390643,0.00132346313087792,0.024592816461659,0.00652693821681433,0.693583847554122,-1.63737378175949
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella",FALSE,FALSE,0.21942776294516,0.169389456880227,0.358828929992673,0.298039677295589,-0.267754571374268,-0.787118455649441
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella_9",TRUE,TRUE,1.10865258370894e-10,1.40175689336912e-07,7.70513545677714e-09,9.74221040891536e-06,2.57163097913601,4.29416317839272
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes",FALSE,FALSE,0.184052452659459,0.529454915836801,0.311991352678839,0.683098766556866,0.506677972765785,0.407390470917433
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae",FALSE,FALSE,0.694854158272067,0.413726931216306,0.791678098359158,0.590092384082545,-0.0800094631050333,0.38687097093975
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides",FALSE,FALSE,0.0405230243873563,0.162647079705218,0.0957011525989979,0.293609663363965,0.662075477910906,-0.885051329356595
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Tannerellaceae",TRUE,FALSE,0.0145577369108343,0.0526254474973464,0.0389139505885764,0.116110114319542,0.83054507367891,-1.00475341103388
"Bacteria|Desulfobacterota|Desulfovibrionia|Desulfovibrionales|Desulfovibrionaceae",FALSE,TRUE,0.863272063089729,0.000487868245850931,0.88700209622038,0.00326370928237425,0.0354426394952435,-1.70544342051328
"Bacteria|Desulfobacterota|Desulfovibrionia|Desulfovibrionales|Desulfovibrionaceae|Bilophila",TRUE,FALSE,0.0106904341038286,0.51334911575509,0.0299528689221748,0.67316534990526,0.565205514185131,-0.308368636048118
"Bacteria|Desulfobacterota|Desulfovibrionia|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio",TRUE,FALSE,0.0105462872396319,0.155710647530724,0.0299528689221748,0.284786579036455,-0.570278064729875,-0.684180854067293
"Bacteria|Firmicutes",FALSE,FALSE,0.516037656040574,0.950879569818945,0.669439493025644,1,0.126458425181628,0.0281589249262146
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae|Catenibacterium",TRUE,FALSE,5.85143662767828e-05,0.806467289406922,0.00040667484562364,0.904023816351308,1.01867302993826,0.126271494030326
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae|Coprobacillus",FALSE,TRUE,0.0278980061505251,5.33234312973807e-06,0.0692468366950534,0.000200854488779213,0.487032757503238,2.42028556248938
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae|Erysipelatoclostridium",FALSE,FALSE,0.862521399530155,0.466652288471151,0.88700209622038,0.635928118602843,-0.0500259755263493,0.38099682937084
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae|Erysipelotrichaceae_UCG-003",FALSE,FALSE,0.92022744781783,0.50926037323416,0.933107829214985,0.67316534990526,-0.0230241048117538,0.351812488435374
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae",FALSE,TRUE,0.504517813040443,0.000835784030471748,0.661584679364354,0.00505104261893795,-0.156830333109852,1.63926113375436
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Clostridium_innocuum_group",FALSE,FALSE,0.155802491246937,0.404075000894284,0.274205469991398,0.590092384082545,0.467769451860391,-0.584175463198225
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Dielma",TRUE,TRUE,0.00147856980826754,0.00394089501678598,0.00570892231525523,0.0156509830666643,0.719958959222636,-1.37767199863683
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Faecalitalea",FALSE,FALSE,0.0609504315738085,0.465213730010958,0.136646935302571,0.635928118602843,-0.442591843053723,0.336768115774067
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Holdemanella",TRUE,FALSE,0.000392370556701798,0.392501317082994,0.00188067266832931,0.586641753489637,1.14292413175064,0.557856102831299
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Holdemania",TRUE,TRUE,1.77296098470487e-09,0.00100286433075463,8.21471922913255e-08,0.00580825591562055,1.75530482362815,-1.53932612570839
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Merdibacter",FALSE,FALSE,0.666877762061543,0.0644861551093251,0.779476942311264,0.133784709853674,0.0987864253399833,0.852185043618022
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Solobacterium",FALSE,TRUE,0.0498981434147239,9.83549993939652e-06,0.115597365577444,0.000227855748596019,-0.433283149683131,3.17527459322119
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Turicibacter",FALSE,FALSE,0.332044794801902,0.547888130596866,0.480773192473588,0.684415251254084,-0.202755429317565,0.303916711939521
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus",FALSE,TRUE,0.786964025695563,1.23205353311922e-05,0.84144615055141,0.000244650630147959,0.122250534730608,-3.31427471892928
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lacticaseibacillus",FALSE,TRUE,0.773299740778962,0.00577761029631263,0.838892435415773,0.0211338902944067,-0.09390440515717,-1.75673501594212
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus",TRUE,FALSE,0.000136121396339198,0.293860593254747,0.000788369753797855,0.469501407613906,1.35972270002964,-0.721810882655782
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Leuconostoc",TRUE,TRUE,0.00208875650659131,0.00798475938517574,0.00744454242092801,0.0258111989427774,0.691545588702416,1.57085007724684
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Ligilactobacillus",FALSE,TRUE,0.157489362465946,0.000482139404735057,0.274205469991398,0.00326370928237425,-0.316727248873382,-1.84534210378688
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Limosilactobacillus",FALSE,TRUE,0.224219470562977,0.00600560039848016,0.362401237305276,0.0214045757791985,0.341924831303167,-1.54523910382791
"Bacteria|Firmicutes|Bacilli|Lactobacillales|P5D1-392|P5D1-392",TRUE,FALSE,1.75375485507666e-07,0.0982496333139284,3.14629873593543e-06,0.19033278464195,-1.48942981148153,-0.79381130480672
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus",FALSE,FALSE,0.0973464276091184,0.629875449246783,0.200537480325982,0.735736869288259,0.393936693071056,0.258996272504439
