"taxon","diff_SexoHombre","diff_SexoMujer","p_SexoHombre","p_SexoMujer","q_SexoHombre","q_SexoMujer","lfc_SexoHombre","lfc_SexoMujer"
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella",TRUE,TRUE,2.03999348037659e-06,9.49805206338604e-06,4.0508441967478e-05,0.000155712501215702,-2.45861533176952,-2.32681884582725
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella_9",TRUE,TRUE,0.000914625912149884,0.000313607726889092,0.00577877280858336,0.00242174855764354,-1.54036528982534,1.95990192133188
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes",FALSE,FALSE,0.0408005604989048,0.525796865425929,0.113425558186955,0.683044526114057,0.957307677227764,0.330599108785225
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae",FALSE,FALSE,0.936168024612599,0.0988654216567588,0.999899314375832,0.214723337660773,0.0318199344689096,0.717723176716912
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides",FALSE,FALSE,0.218255116279626,0.0948285229457009,0.356911307798448,0.209224836340515,-0.64947220526795,-0.918862295345865
"Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Tannerellaceae",FALSE,TRUE,0.503261356283218,0.00084647416733236,0.654297451978026,0.00470639637036792,-0.28894912212961,-1.59490575031221
"Bacteria|Desulfobacterota|Desulfovibrionia|Desulfovibrionales|Desulfovibrionaceae",FALSE,FALSE,0.551328083787283,0.838625916322067,0.703069758224149,0.887623359239921,0.234236051023437,-0.0844793395541223
"Bacteria|Desulfobacterota|Desulfovibrionia|Desulfovibrionales|Desulfovibrionaceae|Bilophila",TRUE,TRUE,2.86314387612267e-08,0.000747419457475599,9.94942496952628e-07,0.00451701324300471,-2.52314248325945,-1.5133672730932
"Bacteria|Desulfobacterota|Desulfovibrionia|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio",FALSE,FALSE,0.38952894848141,0.235720335160417,0.552495141213428,0.425521124510363,0.399209803976725,-0.573996277322815
"Bacteria|Firmicutes",FALSE,FALSE,0.0169589393002324,0.215578535053346,0.0673512160780659,0.399538884965535,1.00985118681357,0.531226646728077
